code,product,name,description
39261246,Very clean Microsoft Surface RT 32gig with Keyboard and win 8.1, Laptops,"Very clean Microsoft surface RT Tablet/Laptop with detachable keyboard and power supply. comes with Windows 8.1 and Office. Usb and Micro HDMI ports, a camera, Mic and kickstand."
39154582,Gaming Desktop with Monitor. Need to sell fast, Desktops,"This is my third attempt at posting this ad so I apologize if it looks like a repeat. I have personally used this computer to livestream and game, it has never dropped frames for me and has handled any game I've thrown at it with flying colors. Normally I wouldn't sell this computer but I really need the money and it's the only thing I can afford to get rid of.  Specifications:Motherboard: gigabyte ga-ex58-ud5http://www.gigabyte.com/products/product-page.aspx?pid=2958#ovCPU: i7 2.66 Ghz Quad core with hyper threadingMemory: 16 gb DDR3 RAM 18662 x G. Skill Sniper 8gb 1866http://www.newegg.com/Product/Product.aspx?Item=N82E16820231627GPU: HIS IceQ Radeon HD 7870 http://www.hisdigital.com/un/product2-729.shtmlSSD: 120 gb OCZ SSD boot driveHDD: 750 gb Western digital HDDOptical Drive: Standard sata dvd RW driveHeatsink: Noctua NH-U12P SE2https://jet.com/product/detail/1c605917920941d1a80ed134bc1a7ddc?jcmp=pla:ggl:gen_electronics_a1:electronics_accessories_cables_a1_other:na:na:na:na:na:2&code=PLA15&ds_c=gen_electronics_a1&ds_cid&ds_ag=electronics_accessories_cables_a1_other&product_id=1c605917920941d1a80ed134bc1a7ddc&product_partition_id=156817734780&gclid=Cj0KEQjw2_23BRDb_qbvzK3X8M8BEiQAg87AFxB3WYIBpb4oBOBHbyxIU3fqsmobxMdRD0unF4fpx6MaAqB58P8HAQPower supply: 900 Watt PowersupplyMonitor specs:Samsung Syncmaster 245BWSize: 24 inchResolution: 1920 x 1200Display type: LCDBrand: SamsungConnector type: VGA, DVIMaximum refresh rate: 75 hertzI will also be including a mouse, keyboard, and all necessary cords. The system has a clean installation of Windows 7 Professional and is up to date on drivers.Asking $600 but I'm willing to negotiate.Call or text if you have any questions. Texting will get the fastest response."
39261227,Dell lap top bag - NEW, Laptop Hardware and Accessories ,2 available. Both new.
39261195,"HP 23"" Monitor - Used (S2331)", Desktop Hardware and Accessories,"I custom built my wife's PC many years ago, but we've recently upgraded so I'm breaking the usable parts up for re-sale.  This 23"" monitor has always worked great and is probably the best part to be re-used for someone else.  I'm listing the other parts separately so if you're interested in a custom build, check 'em out.  Comes with VGA cable and power cord."
39261146,New WD 1TB External Hard Drive, Laptop Hardware and Accessories ,"New WD My Passport Ultra 1TB external hard drive for sale. Silver metal edition still sealed.  We Offer Layaway!American Fork Pawn Shop88 West Main StreetAmerican Fork, UT, 84003801-763-5500 WORK801-707-0500 CELLHours: Mon-Sat: 10am-6pmClosed Sundays"
39261113,Apple iMac for $349+3 month warranty, Apple Laptops,"Apple iMac for $349!!!! Not kidding!Mac Warehouse in Orem and Sandy are now offering an Apple 20"" iMac All in One Desktop Computer for only $349 with a FREE Wireless Keyboard and Mouse! While they last!!These are awesome computers! There are virtually no wires, no tower below the desk, everything is built into the Monitor! They have built in WiFi, Webcam, Bluetooth, CD/DVD Burner, and a 250GB Hard Drive. These are Certified Preloved Apple computers that have been upgraded to 4GB of RAM and updated to the very latest Apple OS 10.11 El Capitan!Come see us Monday thru Saturday from 10am-8pm at either location:Mac Warehouse Sandy9235 S Village Shop DriveSandy Utah801-989-5833Mac Warehouse Orem160 E University ParkwayOrem Utah801-997-5711Thank you guys for your time."
39261102,"PERFECT condition 2013 Macbook Pro 13"" Retina", Apple Laptops,Needing the money so I HAVE TO SELL! Perfect condition with all original packing materials. 128 gb SSD4GB RAM2.4GHz Intel i5
39261041,"Michael Kors MacBook Pro 15"" bag", Laptop Hardware and Accessories ,"This bag was made to carry the MacBook Pro 15"" or 13"". It is in great shape. Has the compartment for your laptop and other compartments for other things. It is a really clean taken care of bag. $300 brand new. Smoke free pet free home."
39261008,Hp computer, Desktops,HPDesktopMonitor/tower is one unitKeyboard and mouse includedUsed but with original box/packaging
39260970,US Cutter Vinyl Plotter Sticker / Decal Cutter, Desktop Hardware and Accessories,"Looking to sell my Vinyl Plotter. It is a US Cutter MH871 MK2 34"" Plotter. It works great, comes with a stand, and has cut me quite a few decals. The only reason I am selling it is because The company that makes it quit servicing the machine when its run with Apple/ Mac computers. So I have to either buy a new plotter or a new computer. I chose a new plotter. This is an awesome quick easy turn key business for anyone and I promise you could pay off the purchase of this machine in just one day with the right job. This is also great for business owners who need a way to create fast, and clean marketing materials. I will also help you setup the plotter with your computer and show you how to cut stickers and include my instruction sheet I have my employees follow so anyone could cut a decal. Please call with any questions. Thank you! - Billy"
